"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","Since monday i couldn't stop thinking about who @FuscoPaulie from #MadeInStatenIsland reminded me off.. Then I turn… https://t.co/YSrJR5wa6x",FALSE,0,NA,2019-01-18 15:33:56,TRUE,NA,"1086285568005165056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kodyjsmommy1726",0,FALSE,FALSE,NA,NA
"12","@KarenGravanoVH1 I live on Staten Island and the shows representation is SPOT ON!....Karina has grown to be a beaut… https://t.co/G26NFHSDbC",FALSE,2,"KarenGravanoVH1",2019-01-18 15:19:07,TRUE,"1086271537605423104","1086281841588531200","283599884","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StevenMcCants",0,FALSE,FALSE,NA,NA
"13","#MadeInStatenIsland  when will it air in the UK.",FALSE,0,NA,2019-01-18 13:13:21,FALSE,NA,"1086250190196101120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmyKershaw9",0,FALSE,FALSE,NA,NA
"14","These must be the kids of mob boss drivers, drug mules, and flunkies. #MadeInStatenIsland",FALSE,0,NA,2019-01-18 04:41:13,FALSE,NA,"1086121306678996992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jeritay",0,FALSE,FALSE,NA,NA
"15","I have never seen NY white trash.  Are they even white? It's like ""Mob Wives' Kids"" but with no money. This is inte… https://t.co/9OC5Pxlsur",FALSE,0,NA,2019-01-18 04:39:07,TRUE,NA,"1086120780860076032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jeritay",0,FALSE,FALSE,NA,NA
"16","#MadeinStatenIsland why does CP look like Mac Miller tho?",FALSE,0,NA,2019-01-18 03:58:28,FALSE,NA,"1086110548322934784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LunaMajix",0,FALSE,FALSE,NA,NA
"17","I can't believe I just sat through an hour of #MadeInStatenIsland. I'll never get that hour back. https://t.co/jSS82Dh2VQ",FALSE,16,NA,2019-01-18 03:53:58,FALSE,NA,"1086109418079612930",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BravoLove12",1,FALSE,FALSE,NA,NA
"18","I have questions about this show #MadeInStatenIsland",FALSE,0,NA,2019-01-18 03:53:49,FALSE,NA,"1086109380167258115",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jpinky87",0,FALSE,FALSE,NA,NA
"19","#MadeinStatenIsland - kayla ""Gonzalez"" .... ok whats your REAL last name, gal? 🤣🤣🤣🤣🤣🤣",FALSE,0,NA,2019-01-18 03:53:48,FALSE,NA,"1086109373485731840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LunaMajix",0,FALSE,FALSE,NA,NA
"20","Paulie and karina are the sam and Ron of 2019 i need this drama #MadeInStatenIsland",FALSE,6,NA,2019-01-18 03:47:16,FALSE,NA,"1086107731260555264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jtmurfe",0,FALSE,FALSE,NA,NA
